Date,BANK,GOLD,NIFTY,SILVER
2015-02-01,197.158935546875,24.36599922180176,89.20378112792969,
2015-03-01,181.34500122070312,23.989500045776367,85.0780029296875,
2015-04-01,184.13800048828125,24.842500686645508,82.2750015258789,
2015-05-01,187.18600463867188,24.598499298095703,84.6449966430664,
2015-06-01,184.3329925537109,24.19849967956543,84.375,
2015-07-01,189.6790008544922,22.69750022888184,86.4229965209961,
2015-08-01,173.45199584960938,24.3129997253418,80.85900115966797,
2015-09-01,173.7220001220703,23.8700008392334,80.1989974975586,
2015-10-01,174.66000366210938,24.4064998626709,81.86100006103516,
2015-11-01,175.2469940185547,22.924999237060547,80.33100128173828,
2015-12-01,170.25999450683594,22.792499542236328,80.3010025024414,
2016-01-01,156.16299438476562,24.23349952697754,76.22899627685547,
2016-02-01,140.80499267578125,26.489500045776367,70.83799743652344,
2016-03-01,162.53599548339844,25.637500762939453,79.12699890136719,
2016-04-01,168.54400634765625,27.17099952697754,79.51699829101562,
2016-05-01,176.76499938964844,26.45599937438965,82.66799926757812,
2016-06-01,181.51400756835935,27.77300071716309,84.28800201416016,
2016-07-01,191.9149932861328,27.96299934387207,88.11100006103516,
2016-08-01,199.7270050048828,28.120500564575195,89.61699676513672,
2016-09-01,195.82000732421875,28.25200080871582,87.85800170898438,
2016-10-01,197.3979949951172,27.35700035095215,88.17900085449219,
2016-11-01,188.5070037841797,26.456499099731445,83.91799926757812,
2016-12-01,183.4320068359375,25.645999908447266,83.48899841308594,
2017-01-01,197.07400512695312,26.30699920654297,87.22799682617188,
2017-02-01,208.35499572753903,27.021499633789062,90.66500091552734,
2017-03-01,216.85699462890625,26.12849998474121,93.8270034790039,
2017-04-01,225.75100708007807,26.40999984741211,94.98799896240234,
2017-05-01,236.8950042724609,26.184499740600582,98.22200012207033,
2017-06-01,234.9969940185547,25.768999099731445,97.5979995727539,
2017-07-01,254.49200439453125,25.709999084472656,103.427001953125,
2017-08-01,246.85499572753903,26.525999069213867,102.15299987792967,
2017-09-01,244.85899353027344,26.662500381469727,100.9980010986328,
2017-10-01,254.53900146484372,26.37150001525879,106.51699829101562,
2017-11-01,257.3330078125,26.300500869750977,105.74600219726562,
2017-12-01,259.6520080566406,26.26799964904785,108.447998046875,
2018-01-01,277.15301513671875,27.089000701904297,113.54399871826172,
2018-02-01,254.6000061035156,27.302499771118164,108.66999816894533,
2018-03-01,246.5619964599609,27.45800018310547,104.9250030517578,
2018-04-01,259.8269958496094,27.749000549316406,111.16799926757812,
2018-05-01,272.9259948730469,27.78199958801269,111.25,
2018-06-01,268.6010131835937,27.13050079345703,111.18800354003906,
2018-07-01,282.4460144042969,26.503999710083008,118.25,
2018-08-01,286.2929992675781,27.04750061035156,121.9000015258789,
2018-09-01,255.71600341796875,27.027999877929688,114.13999938964844,
2018-10-01,256.34600830078125,28.370500564575195,108.47599792480467,
2018-11-01,273.6809997558594,26.98550033569336,113.50800323486328,
2018-12-01,276.8890075683594,28.02050018310547,113.6750030517578,
2019-01-01,277.9219970703125,29.348499298095703,113.46900177001952,
2019-02-01,273.5660095214844,29.502500534057617,113.36000061035156,
2019-03-01,311.8179931640625,28.07999992370605,122.06099700927734,
2019-04-01,302.6289978027344,28.15250015258789,123.40699768066406,
2019-05-01,319.7749938964844,28.381999969482425,125.2490005493164,
2019-06-01,318.7130126953125,29.97949981689453,124.29199981689452,
2019-07-01,293.89801025390625,30.6564998626709,117.5770034790039,
2019-08-01,280.364990234375,33.79949951171875,116.61399841308594,
2019-09-01,298.17498779296875,32.97249984741211,121.56700134277344,
2019-10-01,306.8519897460937,34.06549835205078,125.4980010986328,
2019-11-01,325.60699462890625,33.41350173950195,127.51300048828124,
2019-12-01,329.0,34.45000076293945,129.14999389648438,
2020-01-01,316.8999938964844,35.869998931884766,127.16999816894533,
2020-02-01,296.7200012207031,37.369998931884766,119.29000091552734,
2020-03-01,194.57000732421875,38.209999084472656,91.94000244140624,
